tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3661239-3661633	394	17.2666	2.96835	0.94259	2.99915	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4678682-4679318	636	24.2928	5.00891	2.81349	5.14921	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4481023-4485238	2115	2.88742	0.514114	0.287335	0.7343	OK
CUFF.2.2	-	-	CUFF.2	-	-	chr1:4481023-4483761	2307	18.0282	3.20998	2.66348	3.74644	OK
CUFF.2.3	-	-	CUFF.2	-	-	chr1:4485372-4486506	786	9.57532	1.70491	1.07842	2.32712	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4484462-4485027	565	4.59125	0.90279	0.298777	1.43413	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4761161-4762230	1069	67.8431	12.5574	9.38005	12.1909	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4888342-4889975	1633	2.45175	0.491736	0.289446	0.682266	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4892492-4893752	1260	7.74867	1.48462	0.964624	1.98284	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4766594-4775972	1052	74.9048	13.1192	11.57	14.6291	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4797922-4836810	2478	62.5749	11.1244	10.2164	12.0323	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4900462-5010918	2035	55.0182	9.98851	8.41143	10.4521	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:5588721-5596207	4177	5.0933	0.8894	0.711286	1.06693	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:5903936-5905607	1671	3.41256	0.570368	0.343478	0.787978	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:5905847-5907154	1307	2.26289	0.393344	0.180821	0.594126	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:5073195-5152296	1700	140.044	24.3134	22.421	26.2473	OK
CUFF.18.2	-	-	CUFF.18	-	-	chr1:5073533-5152296	1655	75.3588	13.0833	11.6704	14.5073	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4876830-4887941	7136	14.5654	2.56352	2.28488	2.84394	OK
CUFF.14.2	-	-	CUFF.14	-	-	chr1:4877200-4887941	9394	5.19928	0.915076	0.770414	1.06024	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:4869368-4870825	1457	184.805	32.2217	26.7175	31.3519	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6201820-6202565	745	4.55918	0.792491	0.362543	1.13295	OK
