0,5.8764e+05,1.1535e+05,0,0,0,0,1869,0,0,0,0,6379,0,2.0186e+05,1.3061e+05,2.262e+05
0,3.5686e+05,0,1,0,0,0,0,2.8568e+05,0,1258,34,4.6018e+05,4.1139e+05,1.2915e+05,1.6782e+05,1.6683e+05
0,0,0,4.9129e+05,0,0,0,112,0,1.8871e+05,4.0955e+05,0,2789,0,8683,305,1.1031e+05
0,0,0,0,0,0,0,22794,15,0,8.9623e+05,5.1478e+05,21699,106,3313,32407,1424
0,1.116e+05,0,0,4.865e+05,8.8539e+05,0,1,0,0,682,0,41,1.0145e+05,28,1736,12
0,1,0,0,0,0,0,0,0,1,35615,0,328,7429,7.3039e+05,8.2595e+05,8.0245e+05
6.0016e+05,6.3556e+05,0,0,0,0,0,0,0,3.9014e+05,23484,51845,1.4843e+05,0,10329,2198,0
2,13,0,0,0,0,8.9657e+05,7.4498e+05,0,0,1.4028e+05,1.7939e+05,131,1076,11,25255,21621
0,0,4.9459e+05,0,0,0,0,0,2.0977e+05,0,2.2063e+05,0,4.5435e+05,358,6,1468,74926
0,0,0,0,9.7415e+05,0,0,0,0,0,74,3,0,1,14033,267,0
0,0,1.0591e+06,1.0617e+06,0,0,0,0,0,0,0,0,0,0,37449,2160,3097
3.0669e+05,2.0187e+05,0,0,0,0,0,0,3.4234e+05,14067,0,0,0,1,2.7035e+05,1.7464e+05,2.2867e+05
1.4377e+05,0,0,0,0,3.954e+05,1.0855e+05,0,1.141e+05,0,31,1.5357e+05,0,0,104,310,552
0,26,0,2.2021e+05,0,0,1.4867e+05,633,0,0,256,1.3122e+05,1926,4.4199e+05,0,2704,0
0,0,0,0,0,0,0,2037,4.8656e+05,7.8059e+05,91,0,14790,2.1763e+05,1.418e+05,82729,2.1717e+05
0,0,2,0,0,0,0,0,5,2.271e+05,1.9927e+05,4.8414e+05,3.7212e+05,3.7302e+05,1.424e+05,38184,14001
0,0,0,0,2.6706e+05,3.8615e+05,0,2.4864e+05,0,0,179,0,3.499e+05,30,1.9148e+05,1.9929e+05,2.2067e+05
0,0,4,0,5471,0,0,4.3353e+05,5.26e+05,1.9616e+05,8104,2.7372e+05,0,0,61499,1.3941e+05,15
7.6872e+05,0,0,0,0,0,0,1.8488e+05,0,0,0,0,2.7124e+05,4.0684e+05,3710,1.248e+05,13989
0,0,1.2032e+05,0,92,0,5.9811e+05,1.2907e+05,106,1.5398e+05,442,0,66,24,95007,1.3215e+05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
